Vendor Name,Address,City,State,Zip,Phone,Terms,Tax Rate,Default Expense Account
Caldwell Paper & Packaging,2207 Fallbrook Road,Chattanooga,TN,37402,(423) 555-0111,Net 30,0.0925,Packaging Supplies
Brightline Freight Systems,915 Dunmore Industrial Pkwy,Atlanta,GA,30336,(404) 555-0165,Net 15,0.0000,Freight & Delivery
Verity Office Solutions,77 Ashmont Center Drive,Birmingham,AL,35203,(205) 555-0159,Net 30,0.1000,Office Supplies
Ironwood Components LLC,3390 Harlow Bend,Greenville,SC,29601,(864) 555-0186,2/10 Net 30,0.0600,Raw Materials
Summit Ridge Utilities,1 Cormorant Plaza,Marietta,GA,30060,(678) 555-0178,Due on Receipt,0.0000,Utilities
Praxis Software Group,600 Kestrel Way,Austin,TX,78701,(512) 555-0125,Net 30,0.0825,Software Subscriptions
Halvorsen Machine Works,8842 Tanner Mill Road,Knoxville,TN,37917,(865) 555-0156,Net 30,0.0700,Equipment Repair & Maintenance
Coastal Label & Print,412 Bayliss Street,Savannah,GA,31401,(912) 555-0123,Net 30,0.0700,Printing & Labels
Meridian Professional Services,"255 Lockhart Avenue, Floor 9",Charlotte,NC,28202,(704) 555-0145,Net 15,0.0000,Professional Fees
Tri-State Electric Supply,1720 Penwood Court,Nashville,TN,37210,(615) 555-0100,Net 30,0.0925,Shop Supplies
Oakfield Logistics Partners,5501 Merrow Gate Boulevard,Jacksonville,FL,32218,(904) 555-0163,Net 30,0.0000,Warehousing & Fulfillment
Kessler Industrial Tools,308 Ridgeline Spur,Huntsville,AL,35801,(256) 555-0125,Net 30,0.0900,Small Tools
